candidate_id,group_key,group_label,group_a,group_b,metric,metric_label,classification_cutoff,accuracy_pp,fairness_disparity_pp,group_a_n,group_b_n,group_a_positive_n,group_b_positive_n,group_a_negative_n,group_b_negative_n,group_a_tp,group_a_fp,group_a_tn,group_a_fn,group_b_tp,group_b_fp,group_b_tn,group_b_fn,group_a_selection_rate,group_b_selection_rate,group_a_tpr,group_b_tpr,group_a_fpr,group_b_fpr,point_valid,invalid_reason
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.26,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.27,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.28,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.29,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.30,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.31,70.5000,0.6897,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.32,70.5000,0.6897,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.33,71.0000,1.1285,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.34,71.0000,1.1285,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.35,71.0000,1.1285,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
